order_id,customer_id,product_id,order_date,status,quantity,unit_price,discount_pct
1001,1,1,2025-06-15,Completed,1,999.00,5.00
1002,1,7,2025-06-15,Completed,2,249.00,0.00
1003,2,2,2025-06-18,Completed,1,899.00,10.00
1004,3,4,2025-07-02,Completed,1,1299.00,0.00
1005,3,13,2025-07-02,Completed,1,39.99,0.00
1006,4,5,2025-07-10,Completed,1,1199.00,5.00
1007,5,1,2025-07-15,Completed,1,999.00,0.00
1008,5,11,2025-07-15,Completed,1,799.00,10.00
1009,6,3,2025-07-22,Completed,1,699.00,5.00
1010,7,6,2025-08-01,Completed,1,1099.00,0.00
1011,7,17,2025-08-01,Completed,2,49.99,0.00
1012,8,8,2025-08-05,Completed,1,349.00,5.00
1013,9,3,2025-08-12,Completed,1,699.00,0.00
1014,9,15,2025-08-12,Completed,1,449.00,15.00
1015,10,2,2025-08-18,Completed,1,899.00,0.00
1016,10,19,2025-08-18,Completed,1,179.99,0.00
1017,1,14,2025-08-25,Completed,1,59.99,0.00
1018,2,9,2025-09-01,Completed,1,599.00,5.00
1019,3,7,2025-09-05,Completed,1,249.00,0.00
1020,4,12,2025-09-10,Completed,1,699.00,10.00
1021,5,4,2025-09-15,Completed,1,1299.00,0.00
1022,11,1,2025-09-20,Completed,1,999.00,5.00
1023,11,16,2025-09-20,Completed,1,599.00,0.00
1024,12,5,2025-09-25,Completed,1,1199.00,0.00
1025,12,18,2025-09-25,Completed,3,24.99,0.00
1026,1,10,2025-10-01,Completed,1,549.00,10.00
1027,2,20,2025-10-05,Completed,1,129.99,0.00
1028,3,11,2025-10-10,Completed,1,799.00,0.00
1029,6,2,2025-10-15,Completed,1,899.00,5.00
1030,8,6,2025-10-20,Completed,1,1099.00,0.00
1031,11,4,2025-10-22,Completed,1,1299.00,0.00
1032,7,17,2025-10-25,Completed,1,49.99,0.00
1033,9,14,2025-10-28,Completed,1,59.99,0.00
1034,5,8,2025-11-01,Completed,1,349.00,5.00
1035,10,9,2025-11-05,Completed,1,599.00,10.00
1036,12,3,2025-11-10,Completed,1,699.00,0.00
1037,1,19,2025-11-15,Completed,1,179.99,0.00
1038,4,15,2025-11-20,Completed,1,449.00,0.00
1039,2,1,2025-11-25,Completed,1,999.00,10.00
1040,3,16,2025-11-28,Completed,1,599.00,0.00
1041,7,4,2025-12-01,Completed,1,1299.00,0.00
1042,11,13,2025-12-05,Completed,2,39.99,0.00
1043,8,10,2025-12-10,Completed,1,549.00,5.00
1044,6,18,2025-12-15,Completed,2,24.99,0.00
1045,9,2,2025-12-18,Completed,1,899.00,0.00
1046,12,7,2025-12-20,Completed,1,249.00,0.00
1047,5,20,2025-12-22,Completed,1,129.99,0.00
1048,10,12,2025-12-25,Completed,1,699.00,10.00
1049,2,5,2026-01-02,Completed,1,1199.00,5.00
1050,1,15,2026-01-05,Completed,1,449.00,0.00
1051,4,8,2026-01-08,Completed,1,349.00,0.00
1052,3,17,2026-01-10,Completed,1,49.99,0.00
1053,11,20,2026-01-12,Completed,1,129.99,0.00
1054,7,1,2026-01-15,Completed,1,999.00,0.00
1055,8,3,2026-01-18,Completed,1,699.00,5.00
1056,9,19,2026-01-20,Completed,1,179.99,0.00
1057,12,14,2026-01-22,Completed,1,59.99,0.00
1058,6,9,2026-01-25,Completed,1,599.00,0.00
1059,10,16,2026-01-28,Completed,1,599.00,0.00
1060,5,6,2026-02-01,Completed,1,1099.00,5.00
1061,2,11,2026-02-05,Completed,1,799.00,0.00
1062,3,13,2026-02-08,Completed,1,39.99,0.00
1063,1,1,2026-02-10,Completed,1,999.00,0.00
1064,4,2,2026-02-12,Completed,1,899.00,10.00
1065,8,4,2026-02-15,Completed,1,1299.00,0.00
1066,11,7,2026-02-18,Completed,1,249.00,0.00
1067,7,10,2026-02-20,Completed,1,549.00,5.00
1068,12,15,2026-02-22,Completed,1,449.00,0.00
1069,9,5,2026-02-25,Completed,1,1199.00,0.00
1070,6,20,2026-03-01,Completed,1,129.99,0.00
1071,10,8,2026-03-05,Completed,1,349.00,0.00
1072,5,12,2026-03-08,Completed,1,699.00,10.00
1073,2,18,2026-03-10,Completed,2,24.99,0.00
1074,3,19,2026-03-12,Completed,1,179.99,0.00
1075,4,1,2026-03-15,Completed,1,999.00,5.00
1076,7,14,2026-03-18,Completed,1,59.99,0.00
1077,1,3,2026-03-20,Completed,1,699.00,0.00
1078,9,16,2026-03-22,Completed,1,599.00,0.00
1079,12,11,2026-03-25,Completed,1,799.00,0.00
1080,8,17,2026-03-28,Completed,2,49.99,0.00
1081,5,7,2026-04-01,Completed,1,249.00,0.00
1082,11,2,2026-04-05,Completed,1,899.00,0.00
1083,6,4,2026-04-08,Completed,1,1299.00,5.00
1084,10,6,2026-04-10,Completed,1,1099.00,0.00
1085,3,20,2026-04-12,Completed,1,129.99,0.00
1086,2,9,2026-04-15,Completed,1,599.00,5.00
1087,4,19,2026-04-18,Completed,1,179.99,0.00
1088,7,13,2026-04-20,Completed,2,39.99,0.00
1089,1,5,2026-04-22,Completed,1,1199.00,0.00
1090,9,18,2026-04-25,Completed,1,24.99,0.00
1091,12,1,2026-04-28,Completed,1,999.00,5.00
1092,8,15,2026-05-01,Completed,1,449.00,0.00
1093,5,10,2026-05-03,Completed,1,549.00,10.00
1094,11,8,2026-05-05,Completed,1,349.00,0.00
1095,6,12,2026-05-07,Completed,1,699.00,0.00
